
2023/02/07 (12:26:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
2023/02/08 (21:08:44) | ERROR: failed getting network interfaces
2023/02/12 (02:33:43) | ERROR: failed getting network interfaces
2023/02/14 (13:44:37) | ERROR: Stall in Runner thread, restarting!
2023/02/15 (15:59:03) | ERROR: Stall in Runner thread, restarting!

2023/03/14 (10:25:22) | ===> btop++ v.1.2.13
2023/03/14 (10:25:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/27 (15:49:24) | ===> btop++ v.1.2.13
2023/07/27 (15:49:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/29 (11:59:54) | ===> btop++ v.1.2.13
2023/07/29 (11:59:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/10 (18:17:14) | ===> btop++ v.1.2.13
2023/08/10 (18:17:14) | ERROR: Stall in Runner thread, restarting!
2023/08/10 (18:17:20) | ERROR: Stall in Runner thread, restarting!

2023/08/14 (22:07:58) | ===> btop++ v.1.2.13
2023/08/14 (22:07:58) | ERROR: Stall in Runner thread, restarting!

2023/10/15 (19:36:01) | ===> btop++ v.1.2.13
2023/10/15 (19:36:01) | ERROR: Stall in Runner thread, restarting!
2023/10/15 (19:52:45) | ERROR: Stall in Runner thread, restarting!
2023/10/15 (19:52:51) | ERROR: Stall in Runner thread, restarting!
2023/10/15 (20:04:22) | ERROR: Stall in Runner thread, restarting!

2023/10/18 (18:45:30) | ===> btop++ v.1.2.13
2023/10/18 (18:45:30) | ERROR: Stall in Runner thread, restarting!
2023/10/18 (18:45:36) | ERROR: Stall in Runner thread, restarting!
2023/10/18 (19:18:56) | ERROR: Stall in Runner thread, restarting!

2023/10/18 (23:51:22) | ===> btop++ v.1.2.13
2023/10/18 (23:51:22) | ERROR: Stall in Runner thread, restarting!
2023/10/19 (12:48:00) | ERROR: Stall in Runner thread, restarting!
2023/10/19 (12:58:17) | ERROR: Stall in Runner thread, restarting!
2023/10/19 (12:59:24) | ERROR: Stall in Runner thread, restarting!
2023/10/19 (13:04:13) | ERROR: Stall in Runner thread, restarting!
2023/10/19 (13:06:48) | ERROR: Stall in Runner thread, restarting!
2023/10/19 (13:07:03) | ERROR: Stall in Runner thread, restarting!
2023/10/19 (13:08:10) | ERROR: Stall in Runner thread, restarting!

2023/10/19 (21:42:56) | ===> btop++ v.1.2.13
2023/10/19 (21:42:56) | ERROR: Stall in Runner thread, restarting!

2023/10/25 (11:44:44) | ===> btop++ v.1.2.13
2023/10/25 (11:44:44) | ERROR: Stall in Runner thread, restarting!
2023/10/25 (11:44:50) | ERROR: Stall in Runner thread, restarting!

2023/11/03 (12:14:24) | ===> btop++ v.1.2.13
2023/11/03 (12:14:24) | ERROR: Stall in Runner thread, restarting!
2023/11/03 (12:14:31) | ERROR: Stall in Runner thread, restarting!
2023/11/03 (12:14:37) | ERROR: Stall in Runner thread, restarting!

2023/11/15 (14:34:49) | ===> btop++ v.1.2.13
2023/11/15 (14:34:49) | ERROR: failed getting network interfaces

2023/11/27 (21:18:10) | ===> btop++ v.1.2.13
2023/11/27 (21:18:10) | ERROR: Stall in Runner thread, restarting!
2023/11/27 (21:18:23) | ERROR: Stall in Runner thread, restarting!
2023/11/27 (21:18:55) | ERROR: Stall in Runner thread, restarting!
2023/11/27 (21:19:03) | ERROR: Stall in Runner thread, restarting!
2023/11/27 (21:19:28) | ERROR: Stall in Runner thread, restarting!
2023/11/27 (21:20:13) | ERROR: Stall in Runner thread, restarting!
2023/11/27 (21:21:17) | ERROR: Stall in Runner thread, restarting!
2023/11/27 (21:21:35) | ERROR: Stall in Runner thread, restarting!

2023/12/04 (10:50:29) | ===> btop++ v.1.2.13
2023/12/04 (10:50:29) | ERROR: Stall in Runner thread, restarting!
2023/12/04 (11:57:28) | ERROR: Stall in Runner thread, restarting!
2023/12/04 (11:57:35) | ERROR: Stall in Runner thread, restarting!
2023/12/04 (11:57:41) | ERROR: Stall in Runner thread, restarting!
2023/12/04 (11:57:47) | ERROR: Stall in Runner thread, restarting!

2023/12/22 (18:43:07) | ===> btop++ v.1.2.13
2023/12/22 (18:43:07) | ERROR: Stall in Runner thread, restarting!
2023/12/22 (18:43:22) | ERROR: Stall in Runner thread, restarting!

2024/01/08 (12:09:14) | ===> btop++ v.1.2.13
2024/01/08 (12:09:14) | ERROR: Stall in Runner thread, restarting!
2024/01/08 (12:09:21) | ERROR: Stall in Runner thread, restarting!
2024/01/08 (12:09:27) | ERROR: Stall in Runner thread, restarting!
2024/01/08 (12:09:33) | ERROR: Stall in Runner thread, restarting!
2024/01/08 (12:09:39) | ERROR: Stall in Runner thread, restarting!

2024/01/11 (15:48:59) | ===> btop++ v.1.2.13
2024/01/11 (15:48:59) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (15:49:05) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (15:49:11) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (15:49:17) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (15:49:24) | ERROR: Stall in Runner thread, restarting!

2024/01/11 (15:59:05) | ===> btop++ v.1.2.13
2024/01/11 (15:59:05) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (15:59:12) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (15:59:18) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (15:59:24) | ERROR: Stall in Runner thread, restarting!
2024/01/11 (15:59:30) | ERROR: Stall in Runner thread, restarting!

2024/01/12 (11:45:48) | ===> btop++ v.1.2.13
2024/01/12 (11:45:48) | ERROR: Stall in Runner thread, restarting!
2024/01/12 (11:45:54) | ERROR: Stall in Runner thread, restarting!
2024/01/12 (11:46:01) | ERROR: Stall in Runner thread, restarting!
2024/01/12 (11:46:07) | ERROR: Stall in Runner thread, restarting!

